date,new_tested,cumulative_tested,new_positive,cumulative_pos,seroprevalence,seroprevalence_ci_lower,seroprevalence_ci_upper,rogan_gladen_estimate,rogan_gladen_ci_lower,rogan_gladen_ci_upper
29/03/2020,1,1,0,0,0,0,97.5,0,0,100
19/04/2020,30,31,9,9,29.03225806,14.22285291,48.03606582,34.90691987,16.82682567,58.10775952
26/04/2020,617,648,8,17,2.62345679,1.535522553,4.167258989,2.665677927,1.337471069,4.550432168
03/05/2020,1658,2306,16,33,1.431049436,0.987061715,2.003901935,1.20992484,0.667881474,1.909293048
10/05/2020,603,2909,64,97,3.334479202,2.712183449,4.052781754,3.533731171,2.77400006,4.41067239
17/05/2020,353,3262,1,98,3.004291845,2.445611847,3.649180433,3.130621225,2.448555545,3.917934846
24/05/2020,1,3263,0,98,3.003371131,2.444860313,3.648065804,3.129497169,2.447638033,3.91657405
31/05/2020,273,3536,21,119,3.365384615,2.795678741,4.013777527,3.571462111,2.875935467,4.363053995
07/06/2020,242,3778,20,139,3.679195341,3.101757071,4.329627392,3.954578612,3.249611855,4.748659983
14/06/2020,91,3869,11,150,3.876970793,3.290829449,4.534013959,4.196033199,3.480441276,4.998185764
21/06/2020,9,3878,1,151,3.89375967,3.306998801,4.551226026,4.216529935,3.500181664,5.019199152
28/06/2020,3,3881,1,152,3.916516362,3.328252614,4.575390117,4.244312491,3.526129428,5.048699935
05/07/2020,175,4056,21,173,4.265285996,3.664234222,4.933282398,4.670108651,3.936313298,5.485633498
19/07/2020,181,4237,72,245,5.782393203,5.098465174,6.528043644,6.522272253,5.687297246,7.432601202
26/07/2020,56,4293,18,263,6.126252038,5.427293145,6.885612055,6.942073054,6.088747582,7.869139366
02/08/2020,99,4392,28,291,6.62568306,5.907727184,7.40195042,7.551804493,6.675286515,8.499512172
09/08/2020,14,4406,8,299,6.786200635,6.06104795,7.569250032,7.747772721,6.862468502,8.703760264
16/08/2020,5,4411,9,308,6.982543641,6.247795656,7.774844604,7.987478502,7.090459841,8.95476084
23/08/2020,0,4411,1,309,7.005214237,6.269323242,7.79862622,8.015155948,7.116741841,8.983794677
