week,new_pcr_tested,cumulative_pcr_tested,new_pcr_positive,cumulative_pcr_positive
05/04/2020,18,18,0,0
12/04/2020,10,28,0,0
19/04/2020,45,73,0,0
26/04/2020,51,124,0,0
03/05/2020,22,146,1,1
10/05/2020,137,283,0,1
17/05/2020,106,389,1,2
24/05/2020,52,441,2,4
31/05/2020,64,505,4,8
07/06/2020,155,660,14,22
14/06/2020,393,1053,40,62
21/06/2020,411,1464,52,114
28/06/2020,263,1727,39,153
05/07/2020,205,1932,40,193
12/07/2020,218,2150,30,223
19/07/2020,150,2300,11,234
26/07/2020,118,2418,10,244
02/08/2020,68,2486,5,249
09/08/2020,74,2560,7,256
16/08/2020,80,2640,8,264
23/08/2020,45,2685,2,266
30/08/2020,45,2730,2,268
06/09/2020,23,2753,0,268
13/09/2020,29,2782,2,270
20/09/2020,22,2804,1,271
27/09/2020,34,2838,2,273
04/10/2020,22,2860,7,280
11/10/2020,18,2878,4,284
18/10/2020,3,2881,2,286
25/10/2020,4,2885,3,289
01/11/2020,7,2892,5,294
08/11/2020,4,2896,7,301
15/11/2020,19,2915,15,316
22/11/2020,15,2930,17,333
29/11/2020,39,2969,22,355
06/12/2020,32,3001,37,392
13/12/2020,61,3062,43,435
20/12/2020,41,3103,28,463
27/12/2020,47,3150,37,500
03/01/2021,89,3239,62,562
10/01/2021,15,3254,12,574
17/01/2021,25,3279,9,583
24/01/2021,15,3294,6,589
31/01/2021,2,3296,2,591
