date,pcr_tested,pcr_positive,pcr_positivity,positivity_ci_lower,positivity_ci_upper
05/04/2020,18,0,0,0,18.53019681
12/04/2020,10,0,0,0,30.84971078
19/04/2020,45,0,0,0,7.870510041
26/04/2020,54,0,0,0,6.603151424
03/05/2020,23,1,4.347826087,0.110016863,21.94866075
10/05/2020,164,0,0,0,2.22420822
17/05/2020,139,2,1.438848921,0.174728748,5.100844644
24/05/2020,55,2,3.636363636,0.443454732,12.52642571
31/05/2020,71,4,5.633802817,1.556163504,13.80114432
07/06/2020,176,15,8.522727273,4.848670191,13.66726476
14/06/2020,465,41,8.817204301,6.40164105,11.77137756
21/06/2020,549,60,10.92896175,8.444171166,13.84324139
28/06/2020,394,48,12.18274112,9.120764242,15.82642796
05/07/2020,306,55,17.97385621,13.83686049,22.74349107
12/07/2020,384,40,10.41666667,7.54667258,13.91380338
19/07/2020,324,17,5.24691358,3.085869101,8.26808715
26/07/2020,269,11,4.089219331,2.058715568,7.198813768
02/08/2020,153,5,3.267973856,1.069456679,7.46134731
09/08/2020,165,8,4.848484848,2.116181576,9.329711473
16/08/2020,161,8,4.968944099,2.16935409,9.555834277
23/08/2020,115,2,1.739130435,0.211315082,6.141233256
30/08/2020,88,2,2.272727273,0.276432708,7.969730897
06/09/2020,48,0,0,0,7.397278535
13/09/2020,69,3,4.347826087,0.905760736,12.18471494
20/09/2020,80,1,1.25,0.031642253,6.768778446
27/09/2020,71,2,2.816901408,0.342979077,9.808006866
04/10/2020,45,7,15.55555556,6.490921201,29.45516011
11/10/2020,36,4,11.11111111,3.111613995,26.06109205
18/10/2020,4,2,50,6.758598649,93.24140135
25/10/2020,9,3,33.33333333,7.485463142,70.07049438
01/11/2020,15,5,33.33333333,11.82411034,61.61962675
08/11/2020,11,7,63.63636364,30.7904715,89.07365562
15/11/2020,29,17,58.62068966,38.93627914,76.47597902
22/11/2020,27,17,62.96296296,42.36795725,80.59928413
29/11/2020,64,22,34.375,22.94632425,47.30230388
06/12/2020,49,37,75.51020408,61.13040853,86.65712892
13/12/2020,80,43,53.75,42.2417528,64.97235735
20/12/2020,69,28,40.57971014,28.91313617,53.08149939
27/12/2020,86,37,43.02325581,32.3886861,54.15231441
03/01/2021,166,63,37.95180723,30.54483222,45.79722805
10/01/2021,39,13,33.33333333,19.0880979,50.21722647
17/01/2021,40,9,22.5,10.8396639,38.45116773
24/01/2021,26,6,23.07692308,8.974011088,43.64750969
31/01/2021,11,2,18.18181818,2.28311983,51.77558524
